Year,Acute Myocardial Infarction (AMI) Crude,Asthma,Chronic Obstructive Pulmonary Disease (COPD),Diabetes,Hypertension,Ischemic Heart Disease,Chronic_Disease_Burden,Life_Expectancy,Median_Income,Average_Income,Below_Upper_Secondary_Pct,Tertiary_Edu_Pct,Upper_Secondary_Pct
2012,47.713657048958716,109.12514447712049,130.04320366816853,126.43351460350557,350.214773414191,112.29466992491652,145.9708271894768,80.315,38125.0,46800.0,12.5,53.125,34.5
2013,48.37939291493823,109.75729728343603,130.5521760303177,128.8271558414402,352.1139211598388,111.89413932096797,146.9206804251565,80.465,39733.333333333336,48691.666666666664,11.625,54.25,34.25
2014,49.21714413239837,110.42993530688457,132.0690715033069,131.44833928092064,354.4066078717505,111.48335510332257,148.17574219976393,80.35499999999999,41066.666666666664,49066.666666666664,10.25,54.75,34.75
2015,49.905557058340705,110.86205389900144,132.89545115961974,133.76967722728367,355.3694819561299,111.10682884896704,148.98484169155708,80.435,40450.0,49000.0,10.5,55.5,34.25
2016,50.63614809438832,111.27403159934512,133.98594369674842,135.4381691594146,355.3356914649585,110.51381836792044,149.53063373046254,80.375,41608.333333333336,49683.333333333336,9.625,56.5,34.125
2017,51.29328612298211,111.75347759973624,133.29328496722965,136.96220978552972,354.69425192640665,109.48758319967432,149.58068226692646,80.445,42416.666666666664,49458.333333333336,8.875,56.375,34.75
2018,51.72739792310269,111.8431007391026,131.94256792657342,138.02168629931475,354.132413790141,107.83977869106849,149.25115756155049,80.385,41991.666666666664,50258.333333333336,8.875,57.5,33.625
2019,52.35766951985455,111.91840932192972,131.16578032057802,139.10782601452777,352.18040641736036,106.24133791831693,148.8285715854279,80.465,42908.333333333336,50300.0,8.5,57.625,33.875
2020,52.73863736934243,111.417500139519,127.55323836099281,138.76243553545376,347.1452908174825,104.12072500648968,146.95630453821335,80.485,45408.333333333336,52825.0,7.375,60.25,32.375
2021,53.068743079113425,110.66719242300967,123.93367241498082,139.25647589821847,343.8691735083015,102.26698701111265,145.5103740557894,80.25999999999999,44808.333333333336,53283.333333333336,7.25,64.25,28.625
2022,52.64501500829677,109.69119245924132,120.95220493520168,140.0032866122703,343.028347522839,99.83232373327665,144.35872837852096,80.255,42691.666666666664,50883.333333333336,7.0,64.0,29.0
